Model,Mean MAE,Mean RMSE,Mean R2
Linear Regression,8932.198504166983,35297.792124551816,-3214.8881058801962
Decision Tree,423.3762577139073,879.9008687549718,-0.9613375794105845
Random Forest,371.04550508152334,799.2424802233583,0.020951770599381157
