Feature Set,Features,MAE,RMSE,R2
Current 9 Inputs,21,371.04550508152346,799.2424802233585,0.02095177059938198
All Effort Drivers,29,313.76382466258303,670.5824954107409,0.4276775575692583
Technical Drivers,25,316.69748916493006,682.3296872648568,0.3979390852197079
Human + Technical,23,345.9661468903263,733.4177180158465,0.2617589889263813
