Fold,MAE,RMSE,R2
1,0.5207832347976332,0.6531633905811953,0.6957446174298014
2,0.6403854423801691,0.9209657338618711,0.47639967449835496
3,0.5411546368174625,0.7374594359028517,0.8021251665961919
4,0.714203145630895,0.9784949088792442,0.7281761102480759
5,0.28638856938968393,0.3541688461801367,0.908884621975884
Mean,0.5405830058031686,0.7288504630810598,0.7222660381496617
