Fold,MAE,RMSE,R2
1,0.4798220421852664,0.6212484933325115,0.7247512867263493
2,0.5928399294700771,0.8448328112146775,0.5593898381549964
3,0.449511621889382,0.6255168085352337,0.8576385977513397
4,0.6246098024151959,0.8890963572512652,0.7755765967481151
5,0.353012693780845,0.4012880153469954,0.883027614421699
Mean,0.49995921794815323,0.6763964971361367,0.7600767867604998
